ocid,mnth,start_date,end_date,co2_pm
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-04-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-05-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-06-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-07-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-08-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-09-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-10-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-11-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2016-12-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-01-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-02-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-03-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-04-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-05-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-06-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-07-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-08-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-09-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-10-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-11-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2017-12-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-01-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-02-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-03-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-04-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-05-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-06-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-07-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-08-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-09-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-10-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-11-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2018-12-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-01-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-02-01,2016-04-01,2025-07-01,8.329025310834814
ocds-0c46vo-0001-20d9ad1e-1088-4f16-8406-4f754ed254fc,2019-03-01,2016-04-01,2025-07-01,8.329025310834814
