ocid,mnth,start_date,end_date,co2_pm
ocds-0c46vo-0001-99672e94-ffce-48f9-b22c-a87e6b066184,2021-04-01,2020-08-10,2021-07-30,0.012888432203389831
ocds-0c46vo-0001-99672e94-ffce-48f9-b22c-a87e6b066184,2021-05-01,2020-08-10,2021-07-30,0.012888432203389831
ocds-0c46vo-0001-99672e94-ffce-48f9-b22c-a87e6b066184,2021-06-01,2020-08-10,2021-07-30,0.012888432203389831
ocds-0c46vo-0001-99672e94-ffce-48f9-b22c-a87e6b066184,2021-07-01,2020-08-10,2021-07-30,0.012888432203389831
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2020-09-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2020-10-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2020-11-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2020-12-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2021-01-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2021-02-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-0b7ba12f-17c5-48ea-9009-308665c8e0ee,2021-03-01,2020-09-01,2021-03-31,0.14219446862559243
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2020-09-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2020-10-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2020-11-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2020-12-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-01-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-02-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-03-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-04-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-05-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-06-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-72e3efc7-ba14-448a-97ea-72d10dd8bec4,2021-07-01,2020-09-01,2021-07-30,0.2726907544111446
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2020-09-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2020-10-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2020-11-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2020-12-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-01-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-02-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-03-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-04-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-05-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-06-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9878d64a-dc94-4378-825f-a3d04fba3e23,2021-07-01,2020-09-01,2021-07-30,0.04798875740963856
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2020-09-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2020-10-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2020-11-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2020-12-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-01-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-02-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-03-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-04-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-05-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-06-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-9d2e5a53-761a-4220-8af7-cb88aa2ff484,2021-07-01,2020-09-01,2021-07-30,0.2406089233192771
ocds-0c46vo-0001-0899c258-7ac6-4aea-a947-b6c4b85fb469,2020-12-01,2020-12-04,2021-02-01,8.178999076271186
ocds-0c46vo-0001-0899c258-7ac6-4aea-a947-b6c4b85fb469,2021-01-01,2020-12-04,2021-02-01,8.178999076271186
ocds-0c46vo-0001-0899c258-7ac6-4aea-a947-b6c4b85fb469,2021-02-01,2020-12-04,2021-02-01,8.178999076271186
ocds-0c46vo-0001-cc57c08a-b770-4397-9d8a-eeec2e322f7d,2020-12-01,2020-12-04,2021-02-01,1.6576070425423728
ocds-0c46vo-0001-cc57c08a-b770-4397-9d8a-eeec2e322f7d,2021-01-01,2020-12-04,2021-02-01,1.6576070425423728
ocds-0c46vo-0001-cc57c08a-b770-4397-9d8a-eeec2e322f7d,2021-02-01,2020-12-04,2021-02-01,1.6576070425423728
ocds-0c46vo-0001-b118aa78-4762-4cb3-9b77-75929a992cf2,2021-01-01,2021-01-04,2021-06-30,0.012630663559322033
ocds-0c46vo-0001-b118aa78-4762-4cb3-9b77-75929a992cf2,2021-02-01,2021-01-04,2021-06-30,0.012630663559322033
ocds-0c46vo-0001-b118aa78-4762-4cb3-9b77-75929a992cf2,2021-03-01,2021-01-04,2021-06-30,0.012630663559322033
ocds-0c46vo-0001-b118aa78-4762-4cb3-9b77-75929a992cf2,2021-04-01,2021-01-04,2021-06-30,0.012630663559322033
ocds-0c46vo-0001-b118aa78-4762-4cb3-9b77-75929a992cf2,2021-05-01,2021-01-04,2021-06-30,0.012630663559322033
ocds-0c46vo-0001-b118aa78-4762-4cb3-9b77-75929a992cf2,2021-06-01,2021-01-04,2021-06-30,0.012630663559322033
